Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Khalsa, S.J.S., Mattmann, C.A., Duerr, R.","7004760417; 8969695400; 22233540500","Deep web crawling for insights from polar data",2017,"International Geoscience and Remote Sensing Symposium (IGARSS)",2017-July,"", 8126974,376,379,,,10.1109/IGARSS.2017.8126974,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041804863&partnerID=40&md5=e59ac916dd63d288929270a8aad7d557",Conference Paper,Final,,Scopus,2-s2.0-85041804863
"Ramprasad, R., Batra, R., Pilania, G., Mannodi-Kanakkithodi, A., Kim, C.","8927327700; 57189219132; 26221914300; 56386258600; 57161081200","Machine learning in materials informatics: Recent applications and prospects",2017,"npj Computational Materials",3,"1", 54,,,,131,10.1038/s41524-017-0056-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041315068&partnerID=40&md5=23147d2952e7cdb1d8517227e6e32c33",Review,Final,Open Access,Scopus,2-s2.0-85041315068
"Ding, I.-J., Shi, J.-Y.","16645712200; 57187353900","Hybridized estimations of support vector machine free parameters C and γ using a fuzzy learning strategy for microphone array-based speaker recognition in a Kinect sensor-deployed environment",2017,"Multimedia Tools and Applications",76,"23",,25297,25319,,,10.1007/s11042-017-4499-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014078611&partnerID=40&md5=46cbc1cd04ea5b1cae8823efc5b62852",Article,Final,,Scopus,2-s2.0-85014078611
"Chen, Y., Lu, L., Zhong, P.","56288912000; 57194170173; 36900172900","One-class support higher order tensor machine classifier",2017,"Applied Intelligence",47,"4",,1022,1030,,2,10.1007/s10489-017-0945-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019019702&partnerID=40&md5=6f73f73b3c22a78876ea5222a8146ab7",Article,Final,,Scopus,2-s2.0-85019019702
"Sathiaraj, D., Cassidy, W.M., Rohli, E.","55355422900; 57200856388; 57200860129","Improving Predictive Accuracy in Elections",2017,"Big Data",5,"4",,325,336,,1,10.1089/big.2017.0047,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042550364&partnerID=40&md5=7147f8133e0255406c1620199dddcb94",Article,Final,,Scopus,2-s2.0-85042550364
"Ma, L., Song, D., Liao, L., Wang, J.","36683044400; 35235108100; 7202542567; 55642629500","PSVM: a preference-enhanced SVM model using preference data for classification",2017,"Science China Information Sciences",60,"12", 122103,,,,5,10.1007/s11432-016-9020-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85024098161&partnerID=40&md5=12f17dc6e776538a19776ad84a526136",Article,Final,,Scopus,2-s2.0-85024098161
"Dippel, A.","57196079631","The Big Data Game: On the Ludic Constitution of the Collaborative Production of Knowledge in High-Energy Physics at CERN | Das Big Data Game: Zur spielerischen Konstitution kollaborativer Wissensproduktion in der Hochenergiephysik am CERN",2017,"NTM International Journal of History and Ethics of Natural Sciences, Technology and Medicine",25,"4",,485,517,,1,10.1007/s00048-017-0181-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032812860&partnerID=40&md5=a62bdff1b52cc8791a4b4cb8c10ab629",Article,Final,Open Access,Scopus,2-s2.0-85032812860
"Weigel, K.A., VanRaden, P.M., Norman, H.D., Grosu, H.","57204215827; 7004667952; 55406884800; 55943767600","A 100-Year Review: Methods and impact of genetic selection in dairy cattle—From daughter–dam comparisons to deep learning algorithms",2017,"Journal of Dairy Science",100,"12",,10234,10250,,6,10.3168/jds.2017-12954,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85034070631&partnerID=40&md5=d2ba6abcfc5fff91f80ed4cde805a992",Article,Final,Open Access,Scopus,2-s2.0-85034070631
"Bleidorn, W., Hopwood, C.J., Wright, A.G.","27367623900; 9638074800; 26028213700","Using big data to advance personality theory",2017,"Current Opinion in Behavioral Sciences",18,"",,79,82,,6,10.1016/j.cobeha.2017.08.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028462185&partnerID=40&md5=af5ef0ffceafbfc44e8db7b65115a3df",Review,Final,,Scopus,2-s2.0-85028462185
"Reece, A.G., Danforth, C.M.","56432522400; 12808716500","Instagram photos reveal predictive markers of depression",2017,"EPJ Data Science",6,"1", 15,,,,50,10.1140/epjds/s13688-017-0110-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027011738&partnerID=40&md5=8b5cef4fd3a1aa0ee129ab9054d4c5ea",Article,Final,Open Access,Scopus,2-s2.0-85027011738
"Chen, J., Wei, W., Guo, C., Tang, L., Sun, L.","57195714980; 57198567282; 12775741500; 56198642800; 55493029500","Textual analysis and visualization of research trends in data mining for electronic health records",2017,"Health Policy and Technology",6,"4",,389,400,,2,10.1016/j.hlpt.2017.10.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85034959586&partnerID=40&md5=840b664e4e7804c3cc48164eb91798bf",Article,Final,,Scopus,2-s2.0-85034959586
"Cao, J.-Z., Gu, H.","55440022900; 57191586898","A Review on Prediction of Antimicrobial Peptides Based on Computational Methods",2017,"Jisuanji Xuebao/Chinese Journal of Computers",40,"12",,2777,2796,,,10.11897/SP.J.1016.2017.02777,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047982846&partnerID=40&md5=9084586f3744dd6218e901e31d936dfc",Review,Final,,Scopus,2-s2.0-85047982846
"Hatamlou, A.","56040643100","A hybrid bio-inspired algorithm and its application",2017,"Applied Intelligence",47,"4",,1059,1067,,6,10.1007/s10489-017-0951-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019154233&partnerID=40&md5=c27c9ba250a9cf893db85d66f2ab4885",Article,Final,,Scopus,2-s2.0-85019154233
"Kang, M., Lee, J.-G.","56160805000; 36485021800","An experimental analysis of limitations of MapReduce for iterative algorithms on Spark",2017,"Cluster Computing",20,"4",,3593,3604,,2,10.1007/s10586-017-1167-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029577286&partnerID=40&md5=a7ceb4112dde089d74e03cc75c0f97fa",Article,Final,,Scopus,2-s2.0-85029577286
"Pham-The, H., Nam, N.-H., Nga, D.-V., Hai, D.T., Diéguez-Santana, K., Marrero-Ponce, Y., Castillo-Garit, J.A., Casañola-Martin, G.M., Le-Thi-Thu, H.","55220159400; 56473408100; 57201069046; 56538126600; 56664503600; 55665599200; 7801470655; 9434652400; 36454896800","Learning from multiple classifier systems: Perspectives for improving decision making of QSAR models in medicinal chemistry",2017,"Current Topics in Medicinal Chemistry",17,"30",,3269,3288,,3,10.2174/1568026618666171212111018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85043317768&partnerID=40&md5=46a1c2304852aea2b96bfb990426012c",Review,Final,,Scopus,2-s2.0-85043317768
"Wu, C., Zhang, Y., Jia, J., Zhu, W.","56326948700; 7601311414; 35200619700; 7404232311","Mobile Contextual Recommender System for Online Social Media",2017,"IEEE Transactions on Mobile Computing",16,"12", 7902195,3403,3416,,2,10.1109/TMC.2017.2694830,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85038212117&partnerID=40&md5=b60ab95feef04b30c393bf5ad29c51bf",Article,Final,,Scopus,2-s2.0-85038212117
"Salama, K.M., Abdelbar, A.M.","55360457600; 6701457130","Learning cluster-based classification systems with ant colony optimization algorithms",2017,"Swarm Intelligence",11,"3-4",,211,242,,3,10.1007/s11721-017-0138-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85025589640&partnerID=40&md5=f55562d81739a914566dfa90cd5302b8",Article,Final,,Scopus,2-s2.0-85025589640
"Kang, X., Li, S., Benediktsson, J.A.","47061561600; 7409240361; 7004494483","Hyperspectral image classification: A benchmark",2017,"International Geoscience and Remote Sensing Symposium (IGARSS)",2017-July,"", 8127786,3632,3639,,,10.1109/IGARSS.2017.8127786,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041793721&partnerID=40&md5=ccffdef9ba5af3159f3cd1a25108fcab",Conference Paper,Final,,Scopus,2-s2.0-85041793721
"Aravkin, A., Burke, J.V., Ljung, L., Lozano, A., Pillonetto, G.","35386103000; 7402916689; 24551695000; 7103406749; 6603431135","Generalized Kalman smoothing: Modeling and algorithms",2017,"Automatica",86,"",,63,86,,16,10.1016/j.automatica.2017.08.011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85028849496&partnerID=40&md5=8aa596de39713bb400bcf2cce864f352",Article,Final,,Scopus,2-s2.0-85028849496
"Maity, M., Dhane, D., Mungle, T., Maiti, A.K., Chakraborty, C.","55584286300; 37048615400; 57191416279; 54391500100; 35509178500","Web-Enabled Distributed Health-Care Framework for Automated Malaria Parasite Classification: an E-Health Approach",2017,"Journal of Medical Systems",41,"12", 192,,,,1,10.1007/s10916-017-0834-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032464001&partnerID=40&md5=e34e573417020487ec1a50fb2be70c3d",Article,Final,,Scopus,2-s2.0-85032464001
"Parast, L., McCaffrey, D.F., Burgette, L.F., de la Guardia, F.H., Golinelli, D., Miles, J.N.V., Griffin, B.A.","23010113200; 7005049755; 36600057800; 53866451200; 6506352790; 57203178291; 16309713700","Optimizing variance-bias trade-off in the TWANG package for estimation of propensity scores",2017,"Health Services and Outcomes Research Methodology",17,"3-4",,175,197,,1,10.1007/s10742-016-0168-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85007162535&partnerID=40&md5=dd4cfc671e41ca73154b3cdb18c0f702",Article,Final,,Scopus,2-s2.0-85007162535
"Dixit, S., Singla, D.","57200006200; 32868213600","CAPi: Computational model for apicoplast inhibitors prediction against plasmodium parasite",2017,"Current Computer-Aided Drug Design",13,"4",,303,310,,,10.2174/1573409913666170301121110,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85038621400&partnerID=40&md5=e1b6a3e0b2e399e42c246a7e4e374a77",Article,Final,,Scopus,2-s2.0-85038621400
"Shekatkar, S.M., Kotriwar, Y., Harikrishnan, K.P., Ambika, G.","56548799900; 57196706394; 6701781709; 6602723530","Detecting abnormality in heart dynamics from multifractal analysis of ECG signals",2017,"Scientific Reports",7,"1", 15127,,,,5,10.1038/s41598-017-15498-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85033684633&partnerID=40&md5=94f7cfe555b3b776bc2e1fd3bd2a5481",Article,Final,Open Access,Scopus,2-s2.0-85033684633
"Smith, A., López-Solà, M., McMahon, K., Pedler, A., Sterling, M.","35732484200; 24475429900; 35555669900; 23978406500; 7006472563","Multivariate pattern analysis utilizing structural or functional MRI—In individuals with musculoskeletal pain and healthy controls: A systematic review",2017,"Seminars in Arthritis and Rheumatism",47,"3",,418,431,,1,10.1016/j.semarthrit.2017.06.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85024406356&partnerID=40&md5=cc44e383ade2fbddf4874712aee0a6b4",Review,Final,,Scopus,2-s2.0-85024406356
"Du, Z., Zhang, Y., Meng, X., Wang, Q.","55575693800; 57203830649; 7401629959; 56097692500","EAE: Enzyme Knowledge Graph Adaptive Embedding",2017,"Jisuanji Yanjiu yu Fazhan/Computer Research and Development",54,"12",,2674,2686,,,10.7544/issn1000-1239.2017.20170638,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045240092&partnerID=40&md5=a25b8713c4493f05ed944e3b8f99516b",Review,Final,,Scopus,2-s2.0-85045240092
"Sun, Z., Chen, T., Tong, Y., Zhang, M.","57207170050; 57112829000; 57190074960; 55903835600","Blind Equalization of Constant Modulus Signals Based on Gaussian Process for Classification",2017,"Wireless Personal Communications",97,"4",,6005,6018,,1,10.1007/s11277-017-4824-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027857036&partnerID=40&md5=bc9734eb0298bc0560f419be72228d27",Article,Final,,Scopus,2-s2.0-85027857036
"Guan, Q., Bao, H., Xuan, Z.","57194474583; 16041654200; 15046351200","The research of prediction model on intelligent vehicle based on driver’s perception",2017,"Cluster Computing",20,"4",,2967,2979,,3,10.1007/s10586-017-0946-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85020245267&partnerID=40&md5=fa3a42c07313058136aff666092df9cb",Article,Final,,Scopus,2-s2.0-85020245267
"Fenlon, C., O'Grady, L., Mee, J.F., Butler, S.T., Doherty, M.L., Dunnion, J.","57192945239; 14627439900; 7004533246; 35596953000; 7203078331; 6603084100","A comparison of 4 predictive models of calving assistance and difficulty in dairy heifers and cows",2017,"Journal of Dairy Science",100,"12",,9746,9758,,4,10.3168/jds.2017-12931,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029584249&partnerID=40&md5=e25b9bc74f7f4b93d1bd88731fe04ebd",Article,Final,Open Access,Scopus,2-s2.0-85029584249
"Wang, B.-Y., Gong, J.-W., Gao, T.-Y., Chen, H.-Y., Xi, J.-Q.","57200379645; 55988558400; 57200379938; 22633516100; 23981842300","Steering Control Driver Model of Skid Steering Vehicle Based on Gaussian Mixture Model-Hidden Markov Model",2017,"Binggong Xuebao/Acta Armamentarii",38,"12",,2301,2308,,3,10.3969/j.issn.1000-1093.2017.12.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041064887&partnerID=40&md5=9ed9d9dc0926db200f449c8fecbafcd5",Article,Final,,Scopus,2-s2.0-85041064887
"Mi, C.R., Zu, Q., He, L., Huettmann, F., Jin, N., Li, J.","56182484900; 57193017590; 56225631700; 8982552800; 36705859300; 56063254600","Climate change would enlarge suitable planting areas of sugarcanes in China",2017,"International Journal of Plant Production",11,"1",,151,166,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85010038972&partnerID=40&md5=49b329f5e9082f3a200cff7104a8f751",Article,Final,,Scopus,2-s2.0-85010038972
"Wang, Y., Meng, Y., Fu, Z., Xue, H.","37100648300; 57193855154; 36698694100; 35729733800","Towards Safe Semi-supervised Classification: Adjusted Cluster Assumption via Clustering",2017,"Neural Processing Letters",46,"3",,1031,1042,,4,10.1007/s11063-017-9607-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85017155258&partnerID=40&md5=31c42f5afef95bc0862813befb50ccb7",Article,Final,,Scopus,2-s2.0-85017155258
"Buckley, C.L., Kim, C.S., McGregor, S., Seth, A.K.","56279100400; 35426949700; 23397870600; 7103146527","The free energy principle for action and perception: A mathematical review",2017,"Journal of Mathematical Psychology",81,"",,55,79,,17,10.1016/j.jmp.2017.09.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85033719193&partnerID=40&md5=6f6ad78e894a8b70579f00f75f942828",Review,Final,Open Access,Scopus,2-s2.0-85033719193
"Houlihan, P., Creamer, G.G.","57194287041; 6603915895","Can Sentiment Analysis and Options Volume Anticipate Future Returns?",2017,"Computational Economics",50,"4",,669,685,,2,10.1007/s10614-017-9694-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019544023&partnerID=40&md5=c733b463f13270456e8d87e68e0c87cb",Article,Final,,Scopus,2-s2.0-85019544023
"Hare, E., Hofmann, H., Carriquiry, A.","56707074700; 18339759200; 6603940842","Automatic matching of bullet land impressions",2017,"Annals of Applied Statistics",11,"4",,2332,2356,,7,10.1214/17-AOAS1080,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85040237934&partnerID=40&md5=6c8f4bc188fd08d608b30f8c21c7b33f",Article,Final,,Scopus,2-s2.0-85040237934
"Freitas, F.A., Peres, S.M., Lima, C.A.M., Barbosa, F.V.","56533417800; 8088491100; 7103053596; 56533305500","Grammatical facial expression recognition in sign language discourse: a study at the syntax level",2017,"Information Systems Frontiers",19,"6",,1243,1259,,4,10.1007/s10796-017-9765-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019691334&partnerID=40&md5=808acb1c29585f2a1598b84af30a9db8",Article,Final,,Scopus,2-s2.0-85019691334
"Ouyang, A.-G., Zhang, Y., Cheng, M.-J., Wang, H.-Y., Liu, Y.-D.","12760784100; 57207478294; 57201189008; 56529839200; 8950674700","Determination of the content of ethanol in ethanol gasoline using mid-infrared spectroscopy",2017,"Chinese Optics",10,"6",,752,759,,5,10.3788/CO.20171006.0752,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85043706889&partnerID=40&md5=b88d600d8cb74e6c08f85a2b80ff3d26",Article,Final,,Scopus,2-s2.0-85043706889
"Senthil Kumar, A., Kumar, A., Krishnan, R., Chakravarthi, B., Deekshatalu, B.L.","57193540581; 56660072300; 57208848282; 57200069819; 57200069850","Soft Computing in Remote Sensing Applications",2017,"Proceedings of the National Academy of Sciences India Section A - Physical Sciences",87,"4",,503,517,,1,10.1007/s40010-017-0431-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85039035409&partnerID=40&md5=5e9fbfa02b88691022be7ab90fb57d34",Review,Final,,Scopus,2-s2.0-85039035409
"Brunton, S.L., Brunton, B.W., Proctor, J.L., Kaiser, E., Nathan Kutz, J.","36024889600; 55654236000; 8949981300; 56217784100; 56690414600","Chaos as an intermittently forced linear system",2017,"Nature Communications",8,"1", 819,,,,43,10.1038/s41467-017-00030-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019971668&partnerID=40&md5=98791d8814c2f7a52829b4a54b46ff1d",Article,Final,Open Access,Scopus,2-s2.0-85019971668
"El-Alfy, E.-S.M., Al-Utaibi, K.A.","7003943902; 57197827154","Learning mechanisms or anomaly-based intruson detection: Updated review",2017,"2017 International Conference on Advances in Computing, Communications and Informatics, ICACCI 2017",2017-January,"",,1273,1281,,,10.1109/ICACCI.2017.8126017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042763086&partnerID=40&md5=31100356f2ab9b89e69e7070c73697ee",Conference Paper,Final,,Scopus,2-s2.0-85042763086
"Kumar, S.T.S., Kasthuri, N.","57209548553; 56646263800","EEG seizure classification based on exploiting phase space reconstruction and extreme learning",2017,"Cluster Computing",,"",,1,11,,3,10.1007/s10586-017-1409-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85035313724&partnerID=40&md5=a2a880c9cfab55179b4f7cb83740a77a",[No source information available],Article in Press,,Scopus,2-s2.0-85035313724
